,p__0,p__1,p__2,p__3,p__4,p__5,p__6,p__7,p__8
2614,0.0002261248374026956,0.06990558053394727,3.443280667683271e-05,0.054626627256218106,0.08739300621460995,0.008931885772139155,0.005153095388340276,0.031559309950042434,0.15243620999335938
2615,0.0002263409537142561,0.06986981549625185,3.445231869875633e-05,0.05462413637063268,0.08740243565820324,0.008948680598041823,0.005155007399117611,0.03154623695986145,0.15246007153958932
2616,0.0002261691114494687,0.06990968077421676,3.4410874432006503e-05,0.05463495272960755,0.08730376326632801,0.008922154910080747,0.005146567864938625,0.03156071760088083,0.1524600261111911
2617,0.00022561883158990216,0.06995930685182107,3.446449629427693e-05,0.054619370168712385,0.08743202508892953,0.00895047441036878,0.005157293806444801,0.031544161639273524,0.1524403377698885
2618,0.00022579096795632609,0.06996791431509243,3.453214733157678e-05,0.05460284156780432,0.08731038933539084,0.008929455564943397,0.005147451035961263,0.031559802947495434,0.15241298938576198
2619,0.0002260450693729021,0.06993535275091849,3.451046328775913e-05,0.05460863294708354,0.08737586338202813,0.00893908844325602,0.005150482537728686,0.03155696962198868,0.1524272559169027
2620,0.00022602808082889037,0.06991912544991259,3.4507664480714985e-05,0.05460878265685445,0.0873450363372506,0.008943795803443958,0.005151870531993224,0.03155981968491235,0.15239279792854873
2621,0.0002262663795196479,0.06991868065412922,3.451453367185595e-05,0.05460754548179597,0.08728815138487317,0.008923267929913709,0.005145275533897765,0.03156920326842766,0.15241485733531002
2622,0.00022621038807278207,0.06990641050970038,3.44838350962274e-05,0.054621365572932484,0.08731069537817021,0.00892694351072714,0.005144127692157657,0.0315626501253779,0.1525407582825103
2623,0.00022572434597999683,0.06996269317173133,3.451293011316279e-05,0.05460687147355918,0.08734978554607918,0.00894098161093228,0.005150801712994353,0.03155710929809365,0.15242792426343435
2624,0.00022649428242666606,0.06987337331007491,3.4525850356267313e-05,0.05460453866602709,0.08737248873265857,0.008936252591069347,0.005152022912123462,0.0315572040374426,0.15243598955529358
2625,0.00022591777770589676,0.06994673213794836,3.445395020199257e-05,0.05462355730342842,0.08733339701950311,0.008929144596311016,0.0051469366286122035,0.03155763827978626,0.1524572026313132
2626,0.00022625283768878637,0.06990380455498844,3.4453818579481925e-05,0.054621925174406234,0.0873397293781734,0.008925273657557345,0.005148246085700887,0.03156165924058313,0.1524536162651769
2627,0.00022609767173230484,0.06992005027092056,3.449357071186256e-05,0.05461212326710452,0.08733892576425062,0.00892208567307344,0.005149987524313501,0.03156703522493085,0.15244443492609808
2628,0.00022589762373129683,0.06995282338361174,3.452187796862512e-05,0.05460473034656045,0.08730753236560237,0.008922572870156223,0.005148653763528938,0.031567026277841595,0.1523928226241681
2629,0.0002261253787382377,0.0699158727833331,3.4517856825401565e-05,0.054608985291295715,0.08729073182638675,0.008917911983277878,0.005145279039141408,0.03157064515209024,0.15248047152734875
2630,0.0002262509083575652,0.0699027344222375,3.4475372307185886e-05,0.0546204090953271,0.08738152141182141,0.008937984324023129,0.005148949249302687,0.031550527061576815,0.1525053360778718
2631,0.00022581763486536152,0.06996286456261319,3.4556436122697905e-05,0.05459644684188777,0.08734625819553443,0.00893764223153248,0.005150663165918628,0.03155157014550053,0.15244361115134406
2632,0.0002257670729935328,0.0699532792887454,3.4476352585035997e-05,0.054618873500643185,0.08727428483227448,0.008920065272249795,0.005146042862835982,0.03156984597479623,0.15245621495672695
2633,0.00022625635808600533,0.06989499060263098,3.4487328075870544e-05,0.054613041140719895,0.0873810658599979,0.008938224686700995,0.005154830784612814,0.03154767423694118,0.15241889775292086
2634,0.0002267466687620249,0.06984983661042203,3.4504605007618514e-05,0.05461038823825822,0.08734544125339799,0.008923181929562594,0.005147618715126825,0.03156099372349905,0.15247645903467275
2635,0.00022593084809638945,0.06993755717003228,3.448451849133221e-05,0.054614907045893266,0.08729627968719311,0.008933726126506166,0.005146171135677825,0.03155749675967043,0.15244967561671302
2636,0.00022678317317270118,0.0698263076880157,3.447588908346045e-05,0.05461617169344927,0.08733510557702537,0.008932210014981361,0.005150778179835278,0.03156528642811865,0.15241788067649673
2637,0.0002260001214345998,0.06991877697793761,3.4462530542882816e-05,0.0546209994866212,0.08737624726643313,0.008928300328420435,0.005153635408791897,0.03156584043102187,0.1524258058543551
2638,0.00022610976549010685,0.0699041643278785,3.4463318730266056e-05,0.05462190421795771,0.08739194394698223,0.00894973482274042,0.005154178711876435,0.03154828193067973,0.15245203030480955
